鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1090722,土地0建物1車位0,三十四層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,219.83999999999997,3,2,3,有,有,有,25000,114,,0.0,0,租賃範圍不含車位，且無法區分車位面積。;,RPOOMLRLPHPFFBE98CC
苓雅區,房地(土地+建物),高雄市苓雅區四維二路91~120號,17.08,商,,,1090707,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0700119,80.99,3,2,2,有,有,有,16500,204,,0.0,0,,RPQOMLRLPHPFFBE56CC
新興區,房地(土地+建物),高雄市新興區新興路31~60號,8.96,商,,,1090704,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040306,80.46000000000001,1,1,1,有,有,有,21000,261,,0.0,0,,RPROMLRLPHPFFBE66CC
苓雅區,房地(土地+建物),高雄市苓雅區光華一路301~330號,3.45,商,,,1090712,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860709,39.22,1,1,1,有,有,有,8000,204,,0.0,0,,RPSOMLRLPHPFFBE76CC
苓雅區,房地(土地+建物),高雄市苓雅區正言路31~60號,18.59,住,,,1090726,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740731,114.39,3,2,2,有,無,有,9000,79,,0.0,0,,RPUOMLRLPHPFFBE96CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區興中二路121~150號,15.48,商,,,1090724,土地1建物1車位1,一層,15,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080201,220.76,0,0,0,無,有,有,50000,226,坡道平面,28.74,0,,RPVOMLRLPHPFFBE07CC
新興區,房地(土地+建物),高雄市新興區中山一路151~180號,123.0,商,,,1090707,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0570719,330.04,5,2,4,有,無,無,35000,106,,0.0,0,屋頂突出物作為基地台或廣告使用。;,RPXOMLRLPHPFFBE27CC
新興區,土地,新興段四小段1591~1620地號,83.0,商,,,1090701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,11000,133,,0.0,0,,RPTPMLRLPHPFFBE96CC
鼓山區,房地(土地+建物),高雄市鼓山區文忠路121~150號,9.33,商,,,1090703,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020527,80.76,2,2,1,有,有,有,18000,223,,0.0,0,,RPRNMLRLPHPFFAE09CC
鼓山區,房地(土地+建物),高雄市鼓山區華豐街61~90號,44.9,住,,,1090727,土地1建物1車位0,見其它登記事項,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0840111,327.66,2,2,2,有,有,無,30000,92,,0.0,0,,RPTNMLRLPHPFFAE66CC
前金區,房地(土地+建物),高雄市前金區七賢二路391~420號,5.73,商,,,1090704,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1060103,85.32,2,2,1,有,有,有,18000,211,,0.0,0,,RPUNMLRLPHPFFAE76CC
鼓山區,房地(土地+建物),高雄市鼓山區明華路271~300號,14.44,住,,,1090705,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960403,125.83000000000001,3,2,2,有,有,有,21000,167,,0.0,0,,RPQOMLRLPHPFFAE09CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東七街91~120號,14.89,商,,,1090724,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950220,160.52,3,2,2,有,有,有,23000,143,坡道平面,19.72,0,,RPROMLRLPHPFFAE56CC
