sna, tot, sbi, lat, lng, bemp, act, sno, sarea, mday, ar, sareaen, snaen, aren 
 中壢新興公園, 36, 24, 24.945265, 121.226050, 12, 1, 2082, 中壢區, 20200817231725, 林森路90號前方人行道, Zhongli Dist., Zhongli Xinxing Park, No.90, Linsen Rd. 
 桃園市立圖書館內壢分館, 50, 28, 24.977945, 121.257972, 20, 1, 2083, 中壢區, 20200817231738, 光華三街10號前方人行道, Zhongli Dist., Taoyuan Public Library Neili Branch, No.10, Guanghua 3rd St. 
 宋屋公園, 34, 20, 24.945284, 121.204192, 13, 1, 2084, 平鎮區, 20200817231717, 廣泰路152號對面公園旁人行道, Pingzhen Dist., Songwu Park, No.152, Guangtai Rd.(opposite) 
 中央大學依仁堂, 58, 26, 24.967119, 121.190958, 31, 1, 2085, 中壢區, 20200817231726, 中大路300號(松苑餐廳前方廣場), Zhongli Dist., Office of Physical Education, NCU, No.300, Zhongda Rd. 
 桃園市立圖書館龍岡分館, 34, 9, 24.937936, 121.255829, 23, 1, 2086, 中壢區, 20200817231743, 台貿一街100號後方機車停車場, Zhongli Dist., Taoyuan Public Library Longgang Branch, No.100, Taimao 1st St. 
 思源公園, 32, 22, 24.973517, 121.298761, 10, 1, 2087, 八德區, 20200817231723, 思源街122號(對面公園綠帶), Bade Dist., Siyuan Park, No.122, Siyuan St.(opposite) 
 廣豐公園, 40, 4, 24.966015, 121.297907, 36, 1, 2088, 八德區, 20200817231740, 公園路廣豐二街東北側人行道, Bade Dist., Guangfeng Park, Gongyuan Rd./Guangfeng 2nd St. 
 大湳公園, 42, 17, 24.961775, 121.295451, 25, 1, 2089, 八德區, 20200817231739, 福國北街130號(對面公園綠帶), Bade Dist., Danan Park, No.130, Fuguo N. St.(opposite) 
 廣仁公園, 36, 12, 24.939478, 121.206413, 22, 1, 2090, 平鎮區, 20200817231726, 廣南路168號對面公園旁人行道, Pingzhen Dist., Guangren Park, No.168, Guangnan Rd.(opposite) 
 新寶公園, 34, 10, 24.939561, 121.214068, 24, 1, 2091, 平鎮區, 20200817231744, 新富五街41號(左側公園綠帶), Pingzhen Dist., Xinpao Park, No.41, Xinfu 5th St. 
 平鎮區婦幼館, 38, 19, 24.956269, 121.208551, 19, 1, 2092, 平鎮區, 20200817231734, 廣成街10號對面路側, Pingzhen Dist., Pingzhen Maternity and Child Center, No.10, Guangcheng St.(opposite) 
 文化二復興三路口, 36, 14, 25.051205, 121.372325, 22, 1, 2093, 龜山區, 20200817231739, 文化二路復興三路口西南側人行道, Guishan Dist., Wenhua 2rd & Fuxing 3st Intersection, Wenhua 2nd Rd./Fuxing 3rd Rd. 
 大華公園, 38, 21, 25.051615, 121.366364, 17, 1, 2094, 龜山區, 20200817231637, 文化七路142號(右側人行道), Guishan Dist., Dahua Park, No.142, Wenhua 7th Rd. 
 璟都江山社區, 32, 17, 25.0023, 121.342803, 12, 1, 2095, 龜山區, 20200817231716, 光峰路131巷6號前方人行道, Guishan Dist., Jingdu-Jiangshan Community, No.6, Ln. 131, Guangfeng Rd. 
 捷運體育大學站(A7), 32, 12, 25.040707, 121.385161, 19, 1, 2096, 龜山區, 20200817231731, 文化一路688號(捷運站出口前方人行道), Guishan Dist., MRT National Taiwan Sport University Station (A7), No.688, Wenhua 1th Rd. 
 捷運山鼻站(A10), 22, 3, 25.080942, 121.285489, 17, 1, 2097, 蘆竹區, 20200817231723, 南山路三段176號旁自行車停放區, Luzhu Dist., MRT Shanbi  Station (A10), No.176, Sec. 3, Nanshan Rd. 
