,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,address,longitude,latitude,floor
0,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,addr,lat,long,floor
342,八德區,房地(土地+建物),介壽路二段685巷50弄38衖1~30號,23.3,,鄉村區,乙種建築用地,1090715,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0700726,90.6,3,2,1,有,無,3900000,43046,,0.0,0,陽台外推;,RPWNMLTKQHPFFFH87DA,83.88,0.0,6.72,無,桃園市八德區介壽路二段685巷50弄38衖1號,24.938048,121.299103,4
343,八德區,房地(土地+建物),忠勇街331~360號,65.4,其他,,,1090712,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0870622,227.55,4,3,3,有,無,12870000,56559,,0.0,0,,RPPOMLTKQHPFFFH27DA,168.65,2.01,14.61,無,桃園市八德區忠勇街331號,24.965399,121.303338,4
344,八德區,房地(土地+建物)+車位,忠勇七街1~30號,14.53,其他,,,1090709,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080521,102.12,2,2,1,有,有,7700000,75401,坡道平面,21.95,0,,RPXPMLTKQHPFFFH18DA,47.57,2.4,3.85,有,桃園市八德區忠勇七街1號,24.92893097,121.28463376,15
345,八德區,土地,永豐段931~960地號,4.76,,,,1090810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,274000,57563,,0.0,0,,RPWNMLKLQHPFFFH07DA,0.0,0.0,0.0,無,桃園市八德區永豐段931號,24.92893097,121.28463376,
346,八德區,房地(土地+建物),開隆街1~30號,116.58,其他,,,1090710,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0820511,246.21,0,0,0,無,無,14000000,56862,,0.0,0,其他增建-平台其他增建;,RPUOMLKLQHPFFFH96DA,214.62,10.53,21.06,無,桃園市八德區開隆街1號,24.973708,121.274219,3
347,八德區,房地(土地+建物)+車位,豐德路241~270號,24.74,其他,,,1090706,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071102,143.03,3,2,2,有,有,6990000,55528,坡道平面,40.56,1300000,,RPSPMLNKQHPFFFH07DA,64.11,0.0,6.64,有,桃園市八德區豐德路241號,24.925071,121.289372,14
348,八德區,房地(土地+建物)+車位,豐德路241~270號,24.74,其他,,,1090715,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071102,143.22,3,2,2,有,有,7550000,59419,坡道平面,40.56,1450000,,RPXOMLNKQHPFFFH47DA,64.11,0.0,6.64,有,桃園市八德區豐德路241號,24.925071,121.289372,14
349,八德區,房地(土地+建物),和平路991巷58弄61~90號,33.84,,一般農業區,特定目的事業用地,1090726,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711012,79.19,4,2,1,有,無,3880000,48996,,0.0,0,,RPTNMLOKQHPFFFH07DA,65.23,0.0,13.96,無,桃園市八德區和平路991巷58弄61號,24.964659,121.320187,4
350,八德區,房地(土地+建物)+車位,忠勇五街1~30號,20.76,其他,,,1090718,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980506,211.91,3,2,2,有,有,14500000,68425,坡道平面,27.61,0,,RPUNMLOKQHPFFFH17DA,119.59,0.0,9.88,有,桃園市八德區忠勇五街1號,24.967402,121.304681,19
351,八德區,房地(土地+建物)+車位,大和路91~120號,28.04,其他,,,1090722,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961207,194.91,4,2,3,有,有,12800000,65671,坡道平面,0.0,0,,RPSNMLPKQHPFFFH07DA,115.1,0.0,10.81,有,桃園市八德區大和路91號,24.95409,121.2961,12
352,八德區,房地(土地+建物)+車位,豐德路241~270號,24.74,其他,,,1090704,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071102,143.22,3,2,2,有,有,7450000,58445,坡道平面,40.56,1450000,,RPTNMLRKQHPFFFH37DA,64.11,0.0,6.64,有,桃園市八德區豐德路241號,24.925071,121.289372,14
353,八德區,房地(土地+建物)+車位,豐德路241~270號,23.8,其他,,,1090714,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071102,142.14,2,2,1,有,有,7480000,59854,坡道平面,40.56,1400000,,RPPOMLSLPHPFFFH17DA,63.8,0.0,4.58,有,桃園市八德區豐德路241號,24.925071,121.289372,13
354,八德區,房地(土地+建物)+車位,豐德路241~270號,24.58,其他,,,1090711,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071102,142.57,3,2,2,有,有,6680000,52740,坡道平面,40.56,1300000,,RPQOMLSLPHPFFFH27DA,64.03,0.0,6.64,有,桃園市八德區豐德路241號,24.925071,121.289372,14
355,八德區,房地(土地+建物)+車位,中正一路121~150號,18.33,其他,,,1081002,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090331,125.53999999999999,2,1,1,有,有,5980000,52782,坡道平面,31.19,1000000,,RPOQMLRJPHPFFFH96DA,59.94,0.0,3.39,有,桃園市八德區中正一路121號,24.930138,121.283159,15
